time,Open,High,Low,Close,Volume,Close time,Quote volume,Number of trades,Taker base volume,Taker quote volume
2022-01-02 00:00:00+00:00,,,,,,,,,,
2022-01-03 00:00:00+00:00,46216.93,47954.63,46208.37,47722.65,19604.46325,2022-01-01 23:59:59.999000+00:00,924155159.5834866,714899.0,9942.36679,468738711.7901065
2022-01-04 00:00:00+00:00,47722.66,47990.0,46654.0,47286.18,18340.4604,2022-01-02 23:59:59.999000+00:00,866610995.5633582,709624.0,9166.46954,433182392.2819466
2022-01-05 00:00:00+00:00,47286.18,47570.0,45696.0,46446.1,27662.0771,2022-01-03 23:59:59.999000+00:00,1292203508.325655,885624.0,13524.76045,631879430.11428
2022-01-06 00:00:00+00:00,46446.1,47557.54,45500.0,45832.01,35491.4136,2022-01-04 23:59:59.999000+00:00,1649170424.1276133,1021815.0,17689.26808,821725463.0808074
2022-01-07 00:00:00+00:00,45832.01,47070.0,42500.0,43451.13,51784.11857,2022-01-05 23:59:59.999000+00:00,2334288544.645448,1478532.0,23552.9946,1063287226.3571414
2022-01-08 00:00:00+00:00,43451.14,43816.0,42430.58,43082.31,38880.37305,2022-01-06 23:59:59.999000+00:00,1674466154.4383326,1150707.0,19268.82662,829886561.8261453
2022-01-09 00:00:00+00:00,43082.3,43145.83,40610.0,41566.48,54836.50818,2022-01-07 23:59:59.999000+00:00,2293851015.4652367,1406635.0,26519.39261,1109740200.2387211
2022-01-10 00:00:00+00:00,41566.48,42300.0,40501.0,41679.74,32952.73111,2022-01-08 23:59:59.999000+00:00,1367233494.827767,1021908.0,16462.53747,683155535.4215348
2022-01-11 00:00:00+00:00,41679.74,42786.7,41200.02,41864.62,22724.39426,2022-01-09 23:59:59.999000+00:00,952830064.5125848,752733.0,11399.78979,478046850.277152
2022-01-12 00:00:00+00:00,41864.62,42248.5,39650.0,41822.49,50729.17019,2022-01-10 23:59:59.999000+00:00,2088111339.5055964,1250983.0,24654.54811,1015935553.4027652
2022-01-13 00:00:00+00:00,41822.49,43100.0,41268.93,42729.29,37296.43729,2022-01-11 23:59:59.999000+00:00,1574803608.9600787,1015526.0,18521.95391,782176383.1010936
2022-01-14 00:00:00+00:00,42729.29,44322.0,42450.0,43902.66,33943.2928,2022-01-12 23:59:59.999000+00:00,1470906437.7120714,1023902.0,17584.31885,762205618.815565
2022-01-15 00:00:00+00:00,43902.65,44500.0,42311.22,42560.11,34910.87762,2022-01-13 23:59:59.999000+00:00,1515944525.4954948,1036234.0,17175.40587,746075123.2441132
2022-01-16 00:00:00+00:00,42558.35,43448.78,41725.95,43059.96,32640.88292,2022-01-14 23:59:59.999000+00:00,1392000443.3501675,946938.0,15434.18945,658472386.2432475
2022-01-17 00:00:00+00:00,43059.96,43800.0,42555.0,43084.29,21936.05616,2022-01-15 23:59:59.999000+00:00,946488263.548448,752688.0,11133.18615,480516487.1849679
2022-01-18 00:00:00+00:00,43084.29,43475.0,42581.79,43071.66,20602.35271,2022-01-16 23:59:59.999000+00:00,887203134.0531468,732171.0,10052.19291,432899939.6738643
2022-01-19 00:00:00+00:00,43071.66,43176.18,41540.42,42201.62,27562.08613,2022-01-17 23:59:59.999000+00:00,1169381684.4668436,918029.0,13448.54192,570690475.9728293
2022-01-20 00:00:00+00:00,42201.63,42691.0,41250.0,42352.12,29324.08257,2022-01-18 23:59:59.999000+00:00,1228459687.3994458,905061.0,14527.82371,608578954.6171259
2022-01-21 00:00:00+00:00,42352.12,42559.13,41138.56,41660.01,31685.72159,2022-01-19 23:59:59.999000+00:00,1327478459.1602297,924528.0,15603.74304,653807601.6725059
2022-01-22 00:00:00+00:00,41660.0,43505.0,40553.31,40680.91,42330.33953,2022-01-20 23:59:59.999000+00:00,1784801200.404487,1098761.0,20201.47991,852629490.2787864
2022-01-23 00:00:00+00:00,40680.92,41100.0,35440.45,36445.31,88860.891999,2022-01-21 23:59:59.999000+00:00,3405501703.2219367,2092561.0,41615.085819,1595831787.700032
2022-01-24 00:00:00+00:00,36445.31,36835.22,34008.0,35071.42,90471.338961,2022-01-22 23:59:59.999000+00:00,3207531048.030652,2099978.0,42722.278233,1514027491.3203938
2022-01-25 00:00:00+00:00,35071.42,36499.0,34601.01,36244.55,44279.52354,2022-01-23 23:59:59.999000+00:00,1572414639.0428774,1142407.0,22841.39451,811501507.0363061
2022-01-26 00:00:00+00:00,36244.55,37550.0,32917.17,36660.35,91904.753211,2022-01-24 23:59:59.999000+00:00,3192041586.10319,1999352.0,46469.272938,1615890700.8425
2022-01-27 00:00:00+00:00,36660.35,37545.14,35701.0,36958.32,49232.40183,2022-01-25 23:59:59.999000+00:00,1799224214.4997392,1248246.0,24988.42876,913198135.6036832
2022-01-28 00:00:00+00:00,36958.32,38919.98,36234.63,36809.34,69830.16036,2022-01-26 23:59:59.999000+00:00,2627491976.6908574,1584468.0,35240.31542,1326474948.4632242
2022-01-29 00:00:00+00:00,36807.24,37234.47,35507.01,37160.1,53020.87934,2022-01-27 23:59:59.999000+00:00,1925920128.3436604,1308408.0,26750.94594,971815942.2707556
2022-01-30 00:00:00+00:00,37160.11,38000.0,36155.01,37716.56,42154.26956,2022-01-28 23:59:59.999000+00:00,1560203931.220128,1061101.0,21496.47551,795847847.5123422
2022-01-31 00:00:00+00:00,37716.57,38720.74,37268.44,38166.84,26129.49682,2022-01-29 23:59:59.999000+00:00,989652386.9966494,816601.0,13292.42156,503624477.659453
2022-02-01 00:00:00+00:00,38166.83,38359.26,37351.63,37881.76,21430.66527,2022-01-30 23:59:59.999000+00:00,812750216.6010319,698593.0,10798.3846,409620744.0169444
2022-02-02 00:00:00+00:00,37881.75,38744.0,36632.61,38466.9,36855.2458,2022-01-31 23:59:59.999000+00:00,1386754529.0295446,936014.0,18422.26954,693360023.3316519
2022-02-03 00:00:00+00:00,38466.9,39265.2,38000.0,38694.59,34574.44663,2022-02-01 23:59:59.999000+00:00,1334266166.7099988,917617.0,17730.99304,684446571.1793659
2022-02-04 00:00:00+00:00,38694.59,38855.92,36586.95,36896.36,35794.6813,2022-02-02 23:59:59.999000+00:00,1353093948.9776013,907905.0,17251.43687,652533107.6999176
2022-02-05 00:00:00+00:00,36896.37,37387.0,36250.0,37311.61,32081.10999,2022-02-03 23:59:59.999000+00:00,1179502838.6566265,848961.0,16468.10233,605530493.5816588
